gen,evals,dataset_i,avg,std,min,max
293,97,0,[1.96968961e+00 2.55522902e+03],[1.27128268e+00 5.20884283e+03],[6.41211628e-04 5.90738058e+00],[6.81720441e+00 3.20602625e+04]
294,92,0,[2.05726037e+00 2.19433535e+03],[1.25380463e+00 5.41154292e+03],[8.76060257e-04 1.07202720e+01],[6.81720441e+00 3.20602625e+04]
295,99,0,[2.01420369e+00 3.12835177e+03],[1.50112497e+00 6.91987221e+03],[8.76060257e-04 1.07202720e+01],[6.81720441e+00 3.20602625e+04]
296,93,0,[2.27213738e+00 2.52535759e+03],[1.37106648e+00 7.25661129e+03],[8.76060257e-04 1.07202720e+01],[6.81720441e+00 3.20602625e+04]
297,98,1,[  1.86329482 448.10127376],[  0.36049544 224.96967958],[ 0.90550862 96.77282875],[   2.5549503  1236.85433961]
298,99,1,[  1.88203846 485.91662194],[  0.35680842 251.47472596],[ 0.82661529 20.70060423],[   2.69846022 1236.85433961]
299,98,1,[  1.82908188 567.6856078 ],[  0.41598046 309.15789121],[ 0.82661529 20.70060423],[   2.96696352 1348.79740336]
300,97,1,[  1.80592012 642.54619817],[  0.50342336 366.54899316],[ 0.78781489 30.81473767],[   3.35985325 1855.13012723]
301,96,1,[  1.9306148 601.9442139],[  0.53780085 408.87545857],[ 0.78781489 45.87896002],[   3.52790612 1855.13012723]
302,98,1,[  1.90319377 643.43755853],[  0.57165342 429.1670361 ],[ 0.78781489 53.78095147],[   3.6865425  1855.13012723]
303,94,1,[  1.87653481 712.85726363],[  0.59508072 497.54170751],[ 0.78781489 53.78095147],[   3.6865425  2161.44989941]
304,98,1,[  1.93004906 665.6638947 ],[  0.60827863 445.23710737],[ 1.02537486 50.42450693],[   4.19802476 2161.44989941]
305,97,2,[  1.33095024 293.43286896],[  0.49441503 139.99322601],[ 0.56262656 37.29496493],[  3.43985601 788.47913995]
306,98,2,[  1.51264052 305.14800818],[  0.55742959 147.73040246],[ 0.56262656 12.29205928],[  3.44784084 788.47913995]
307,96,2,[  1.5341601  332.95470706],[  0.64361787 156.93570689],[0.06782883 3.38451975],[  3.44784084 788.47913995]
308,96,2,[  1.66167164 322.0542089 ],[  0.66472554 166.14699325],[ 0.06782883 14.34398569],[  3.44784084 788.47913995]
309,98,2,[  1.67817642 333.35495822],[  0.6732163  163.46524062],[ 0.31877985 10.40965868],[  3.44784084 788.47913995]
310,96,2,[  1.69667947 358.03279681],[  0.69317021 259.82280876],[ 0.52720562 15.20516397],[   3.44784084 2340.46771857]
311,96,2,[  1.75975045 347.02457858],[  0.6792794  258.16119398],[ 0.47880808 50.27942312],[   3.51799136 2340.46771857]
312,94,2,[  1.79511686 345.70412836],[  0.68087752 261.2977925 ],[ 0.47880808 46.33597721],[   3.63257687 2340.46771857]
313,98,0,[  2.2823437  467.23446342],[1.07035829e+00 1.77594400e+03],[2.32885780e-04 1.17421183e+01],[4.44631323e+00 1.33927804e+04]
314,97,0,[  2.22483582 730.44526463],[1.06240376e+00 2.16766272e+03],[2.32885780e-04 3.14756397e+01],[4.56779022e+00 1.33927804e+04]
315,95,0,[  2.4112401  881.61882823],[1.22901173e+00 2.77222932e+03],[2.32885780e-04 1.00130235e+01],[5.54447328e+00 1.71947459e+04]
316,98,0,[   2.26369064 1150.16616027],[1.39930140e+00 3.03979609e+03],[2.32885780e-04 8.11604758e+00],[5.74343214e+00 1.71947459e+04]
